date;positive;negative;meanpos;meanneg
1993-01-25;0,0;0,0;0.14892243814520026;0.017142862489947466
1996-03-19;0,1;0,0;0.14892243814520026;0.017142862489947466
1997-06-19;0,0625;0,0;0.14892243814520026;0.017142862489947466
1998-04-19;0,1444;0,0;0.14892243814520026;0.017142862489947466
1998-10-16;0,1834;0,0;0.14892243814520026;0.017142862489947466
1998-11-20;0,0;0,0;0.14892243814520026;0.017142862489947466
1999-03-17;0,1557;0,0;0.14892243814520026;0.017142862489947466
2000-01-20;0,45;0,0;0.14892243814520026;0.017142862489947466
2000-03-20;0,06;0,0;0.14892243814520026;0.017142862489947466
2000-03-30;0,0691;0,0;0.14892243814520026;0.017142862489947466
2000-03-31;0,2261;0,0;0.14892243814520026;0.017142862489947466
2000-04-20;0,0886;0,0;0.14892243814520026;0.017142862489947466
2000-05-31;0,1571;0,0;0.14892243814520026;0.017142862489947466
2000-08-23;0,0917;0,0;0.14892243814520026;0.017142862489947466
2000-11-20;0,3271;0,0;0.14892243814520026;0.017142862489947466
2001-01-20;0,1324;0,0;0.14892243814520026;0.017142862489947466
2001-01-24;0,1125;0,0;0.14892243814520026;0.017142862489947466
2001-02-20;0,22;0,0;0.14892243814520026;0.017142862489947466
2001-06-22;0,1;0,0;0.14892243814520026;0.017142862489947466
2002-02-21;0,0;0,0;0.14892243814520026;0.017142862489947466
2002-03-20;0,0;0,0;0.14892243814520026;0.017142862489947466
2002-04-29;0,094;0,0;0.14892243814520026;0.017142862489947466
2003-02-28;0,1214;0,0;0.14892243814520026;0.017142862489947466
2003-03-20;0,0;0,0;0.14892243814520026;0.017142862489947466
2003-05-20;0,0;0,0;0.14892243814520026;0.017142862489947466
2003-06-20;0,2381;0,0;0.14892243814520026;0.017142862489947466
2003-09-30;0,5179;0,0;0.14892243814520026;0.017142862489947466
2004-02-13;0,1364;0,0;0.14892243814520026;0.017142862489947466
2004-02-20;0,0;0,0;0.14892243814520026;0.017142862489947466
2004-06-20;0,0;0,0;0.14892243814520026;0.017142862489947466
2005-03-20;0,02;0,0;0.14892243814520026;0.017142862489947466
2005-04-14;0,2188;0,0;0.14892243814520026;0.017142862489947466
2005-05-20;0,0;0,0;0.14892243814520026;0.017142862489947466
2005-07-20;0,0;0,0;0.14892243814520026;0.017142862489947466
2005-08-26;0,0;0,0542;0.14892243814520026;0.017142862489947466
2005-09-19;0,0;0,3;0.14892243814520026;0.017142862489947466
2005-09-20;0,035;0,0;0.14892243814520026;0.017142862489947466
2006-01-09;0,1667;0,0;0.14892243814520026;0.017142862489947466
2006-01-20;0,0;0,0;0.14892243814520026;0.017142862489947466
2006-01-30;0,0;0,0042;0.14892243814520026;0.017142862489947466
2006-04-11;0,0;0,45;0.14892243814520026;0.017142862489947466
2006-04-14;0,0;0,0;0.14892243814520026;0.017142862489947466
2006-05-20;0,2275;0,0;0.14892243814520026;0.017142862489947466
2006-09-20;0,05;0,0;0.14892243814520026;0.017142862489947466
2007-01-09;0,0;0,0;0.14892243814520026;0.017142862489947466
2007-09-20;0,1137;0,0;0.14892243814520026;0.017142862489947466
2007-11-15;0,5609;0,0;0.14892243814520026;0.017142862489947466
2007-12-20;0,0;0,0524;0.14892243814520026;0.017142862489947466
2008-02-20;0,0;0,0;0.14892243814520026;0.017142862489947466
2008-04-15;0,0;0,0;0.14892243814520026;0.017142862489947466
2008-08-20;0,05;0,0;0.14892243814520026;0.017142862489947466
2008-09-20;0,0;0,0;0.14892243814520026;0.017142862489947466
2009-02-20;0,3167;0,0;0.14892243814520026;0.017142862489947466
2009-08-26;0,2759;0,0;0.14892243814520026;0.017142862489947466
2011-04-18;0,1371;0,0;0.14892243814520026;0.017142862489947466
2011-11-21;0,3;0,0;0.14892243814520026;0.017142862489947466
2011-11-22;0,3;0,0;0.14892243814520026;0.017142862489947466
2012-06-20;0,2188;0,0;0.14892243814520026;0.017142862489947466
2012-06-21;0,0;0,0;0.14892243814520026;0.017142862489947466
2012-11-20;0,1;0,0;0.14892243814520026;0.017142862489947466
2012-12-20;0,5462;0,0;0.14892243814520026;0.017142862489947466
2013-02-28;0,0619;0,0;0.14892243814520026;0.017142862489947466
2013-04-03;0,1778;0,0;0.14892243814520026;0.017142862489947466
2014-09-16;0,02;0,0;0.14892243814520026;0.017142862489947466
2014-11-20;0,1478;0,0;0.14892243814520026;0.017142862489947466
2014-12-20;0,3839;0,0;0.14892243814520026;0.017142862489947466
2015-01-05;0,6858;0,0;0.14892243814520026;0.017142862489947466
2015-05-26;0,1225;0,0;0.14892243814520026;0.017142862489947466
2015-12-20;0,2;0,0;0.14892243814520026;0.017142862489947466
2016-02-18;0,4305;0,0;0.14892243814520026;0.017142862489947466
2016-02-23;0,0;0,0;0.14892243814520026;0.017142862489947466
2016-02-29;0,1124;0,0;0.14892243814520026;0.017142862489947466
2016-05-13;0,1772;0,0;0.14892243814520026;0.017142862489947466
2016-08-20;0,1249;0,0;0.14892243814520026;0.017142862489947466
2016-10-25;0,0;0,0;0.14892243814520026;0.017142862489947466
2016-12-23;0,0;0,0025;0.14892243814520026;0.017142862489947466
2017-01-13;0,25;0,0;0.14892243814520026;0.017142862489947466
2017-02-20;0,0;0,0;0.14892243814520026;0.017142862489947466
2017-03-14;0,0;0,1967;0.14892243814520026;0.017142862489947466
2017-04-20;0,0125;0,0187;0.14892243814520026;0.017142862489947466
2017-06-20;0,1257;0,0;0.14892243814520026;0.017142862489947466
2017-08-21;0,2449;0,0;0.14892243814520026;0.017142862489947466
2017-09-13;0,0792;0,0;0.14892243814520026;0.017142862489947466
2018-01-20;1,0934;0,4652;0.14892243814520026;0.017142862489947466
2018-02-20;0,6;0,0;0.14892243814520026;0.017142862489947466
2018-03-20;0,3;0,0;0.14892243814520026;0.017142862489947466
2018-04-20;0,0;0,0;0.14892243814520026;0.017142862489947466
2018-05-14;0,4667;0,0;0.14892243814520026;0.017142862489947466
2018-06-29;0,2917;0,0;0.14892243814520026;0.017142862489947466
2018-07-17;0,1667;0,0;0.14892243814520026;0.017142862489947466
2018-08-13;0,0;0,0333;0.14892243814520026;0.017142862489947466
2018-09-20;0,0;0,0;0.14892243814520026;0.017142862489947466
